datetimestart,datetimestop,provider,server,distance,ping,download,upload
2017-10-18 20:00:01,2017-10-18 20:00:34,Telstra Internet,Internode (Brisbane),5.31,20.138,32.02,1.13
2017-10-18 20:30:01,2017-10-18 20:30:30,Telstra Internet,Foxtel Broadband (Brisbane),5.31,17.141,28.33,1.06
2017-10-18 21:00:01,2017-10-18 21:00:29,Telstra Internet,Telstra (Brisbane),5.31,17.778,31.61,0.97
2017-10-18 21:30:01,2017-10-18 21:30:34,Telstra Internet,AARNet (Brisbane),5.31,18.187,34.89,1.38
2017-10-18 22:00:01,2017-10-18 22:00:28,Telstra Internet,Telstra (Brisbane),5.31,15.949,34.48,1.12
2017-10-18 22:30:01,2017-10-18 22:30:29,Telstra Internet,Foxtel Broadband (Brisbane),5.31,19.392,30.87,1.05
2017-10-18 23:30:01,2017-10-18 23:30:30,Telstra Internet,Telstra (Brisbane),5.31,14.885,34.73,0.96
2017-10-19 00:00:01,2017-10-19 00:00:26,Telstra Internet,Telstra (Brisbane),5.31,13.172,34.26,1.29
2017-10-19 00:30:01,2017-10-19 00:30:26,Telstra Internet,Telstra (Brisbane),5.31,14.968,34.3,1.18
2017-10-19 01:00:01,2017-10-19 01:00:30,Telstra Internet,Telstra (Brisbane),5.31,16.443,34.33,1.01
2017-10-19 01:30:01,2017-10-19 01:30:28,Telstra Internet,Telstra (Brisbane),5.31,16.961,32.2,1.14
2017-10-19 02:30:01,2017-10-19 02:30:28,Telstra Internet,Telstra (Brisbane),5.31,15.11,35.02,1.09
2017-10-19 03:30:01,2017-10-19 03:30:36,Telstra Internet,Telstra (Brisbane),5.31,13.916,34.35,1.18
2017-10-19 04:00:01,2017-10-19 04:00:35,Telstra Internet,Telstra (Brisbane),5.31,14.766,34.59,1.06
2017-10-19 04:30:01,2017-10-19 04:30:30,Telstra Internet,Foxtel Broadband (Brisbane),5.31,15.612,34.64,1
2017-10-19 05:30:01,2017-10-19 05:30:33,Telstra Internet,Telstra (Brisbane),5.31,14.049,34.71,1.25
2017-10-19 06:30:01,2017-10-19 06:30:36,Telstra Internet,AARNet (Brisbane),5.31,15.785,35.14,1.56
2017-10-19 07:00:01,2017-10-19 07:00:27,Telstra Internet,Telstra (Brisbane),5.31,13.376,34.55,1.24
2017-10-19 07:30:01,2017-10-19 07:30:26,Telstra Internet,Telstra (Brisbane),5.31,13.55,34.25,1.21
2017-10-19 08:30:01,2017-10-19 08:30:29,Telstra Internet,AARNet (Brisbane),5.31,16.546,35,1.78
2017-10-19 09:00:01,2017-10-19 09:00:30,Telstra Internet,AARNet (Brisbane),5.31,15.253,35.25,1.59
2017-10-19 09:30:01,2017-10-19 09:30:35,Telstra Internet,AARNet (Brisbane),5.31,16.949,35.01,1.64
2017-10-19 10:30:01,2017-10-19 10:30:27,Telstra Internet,Telstra (Brisbane),5.31,13.633,34.74,1.13
2017-10-19 11:30:01,2017-10-19 11:30:31,Telstra Internet,AARNet (Brisbane),5.31,16.617,34.94,1.62
2017-10-19 12:30:01,2017-10-19 12:30:37,Telstra Internet,Internode (Brisbane),5.31,17.63,31.57,1.12
2017-10-19 13:30:01,2017-10-19 13:30:30,Telstra Internet,Telstra (Brisbane),5.31,16.631,34.56,1
2017-10-19 14:30:01,2017-10-19 14:30:36,Telstra Internet,Internode (Brisbane),5.31,17.066,30.28,1.22
2017-10-19 15:00:01,2017-10-19 15:00:37,Telstra Internet,Telstra (Brisbane),5.31,16.129,34.29,1.13
2017-10-19 15:30:01,2017-10-19 15:30:29,Telstra Internet,AARNet (Brisbane),5.31,16.542,34.99,1.81
2017-10-19 16:00:01,2017-10-19 16:00:36,Telstra Internet,Foxtel Broadband (Brisbane),5.31,17.208,30.96,1.02
2017-10-19 16:30:01,2017-10-19 16:30:34,Telstra Internet,Telstra (Brisbane),5.31,13.545,33.71,1.15
2017-10-19 17:00:01,2017-10-19 17:00:30,Telstra Internet,Telstra (Brisbane),5.31,14.829,34.36,1.02
2017-10-19 17:30:01,2017-10-19 17:30:29,Telstra Internet,'Yes' Optus (Brisbane),5.31,18.532,35.22,1.04
2017-10-19 18:00:01,2017-10-19 18:00:33,Telstra Internet,Telstra (Brisbane),5.31,17.233,32.92,1.1
2017-10-19 18:30:01,2017-10-19 18:30:33,Telstra Internet,AARNet (Brisbane),5.31,17.578,32.67,1.45
2017-10-19 19:30:01,2017-10-19 19:30:32,Telstra Internet,AARNet (Brisbane),5.31,16.832,35.16,1.73
2017-10-19 20:00:01,2017-10-19 20:00:31,Telstra Internet,AARNet (Brisbane),5.31,17.879,31.67,1.49
2017-10-19 20:30:01,2017-10-19 20:30:30,Telstra Internet,AARNet (Brisbane),5.31,18.496,34.29,1.61
2017-10-19 21:30:01,2017-10-19 21:30:28,Telstra Internet,Telstra (Brisbane),5.31,14.966,33.57,1.12
2017-10-19 22:00:01,2017-10-19 22:00:29,Telstra Internet,AARNet (Brisbane),5.31,21.125,34.73,1.78
2017-10-20 00:00:01,2017-10-20 00:00:38,Telstra Internet,Telstra (Brisbane),5.31,16.2,32.62,0.92
2017-10-20 00:30:01,2017-10-20 00:30:36,Telstra Internet,Telstra (Brisbane),5.31,14.551,34.56,1.14
2017-10-20 01:00:01,2017-10-20 01:00:28,Telstra Internet,AARNet (Brisbane),5.31,15.763,35.24,1.76
2017-10-20 01:30:01,2017-10-20 01:30:29,Telstra Internet,Telstra (Brisbane),5.31,15.986,33.65,1.07
2017-10-20 02:00:01,2017-10-20 02:00:24,Telstra Internet,Telstra (Brisbane),5.31,13.714,35.03,1.33
2017-10-20 02:30:01,2017-10-20 02:30:29,Telstra Internet,Telstra (Brisbane),5.31,14.054,34.27,1.1
2017-10-20 03:30:01,2017-10-20 03:30:30,Telstra Internet,AARNet (Brisbane),5.31,14.746,35.19,1.69
2017-10-20 05:00:02,2017-10-20 05:00:31,Telstra Internet,AARNet (Brisbane),5.31,17.396,35.4,1.73
2017-10-20 05:30:01,2017-10-20 05:30:37,Telstra Internet,AARNet (Brisbane),5.31,15.219,35.38,1.71
2017-10-20 06:00:01,2017-10-20 06:00:34,Telstra Internet,Telstra (Brisbane),5.31,14.065,34.27,1.1
2017-10-20 06:30:01,2017-10-20 06:30:32,Telstra Internet,AARNet (Brisbane),5.31,14.731,35.29,1.43
2017-10-20 07:00:01,2017-10-20 07:00:31,Telstra Internet,Telstra (Brisbane),5.31,15.472,34.66,1.06
2017-10-20 07:30:01,2017-10-20 07:30:29,Telstra Internet,Telstra (Brisbane),5.31,15.516,34.4,1.07
